OSLAPlayer,OEPlayer[75][0.15][0.35]
292,695,13
OSLAPlayer,OEPlayer[25][0.15][0.35]
314,669,17
OSLAPlayer,OEPlayer[125][0.15][0.35]
286,704,10
OSLAPlayer,OEPlayer[175][0.15][0.35]
292,692,16
OSLAPlayer,OEPlayer[75][0.05][0.35]
302,680,18
OSLAPlayer,OEPlayer[75][0.25][0.35]
303,678,19
OSLAPlayer,OEPlayer[75][0.35][0.35]
308,675,17
OSLAPlayer,OEPlayer[75][0.15][0.05]
302,688,10
OSLAPlayer,OEPlayer[75][0.15][0.15]
283,700,17
OSLAPlayer,OEPlayer[75][0.15][0.55]
306,671,23
OSLAPlayer,OEPlayer[75][0.15][0.75]
311,675,14
