OSLAPlayer,MCTSPlayer0.5
485,502,13
OSLAPlayer,MCTSPlayer1.414
473,509,18
OSLAPlayer,MCTSPlayer3
458,523,19
OSLAPlayer,MCTSPlayer8
436,545,19
OSLAPlayer,MCTSPlayer14
470,520,10
OSLAPlayer,MCTSPlayer20
478,507,15
OSLAPlayer,MCTSPlayer30
507,477,16
OSLAPlayer,MCTSPlayer45
530,458,12
