RandomPlayer,OSLAPlayer
35,956,9
RandomPlayer,MCTSPlayer8
41,949,10
RandomPlayer,OEPlayer[125][0.15][0.15]
11,988,1
RandomPlayer,NTBEA[8][5][0.55][1000]
12,988,0
OSLAPlayer,MCTSPlayer8
405,570,25
OSLAPlayer,OEPlayer[125][0.15][0.15]
282,706,12
OSLAPlayer,NTBEA[8][5][0.55][1000]
253,728,19
MCTSPlayer8,OEPlayer[125][0.15][0.15]
346,640,14
MCTSPlayer8,NTBEA[8][5][0.55][1000]
246,729,25
OEPlayer[125][0.15][0.15],NTBEA[8][5][0.55][1000]
392,590,18
